,Title,Director,Actors,Rating,Revenue (Millions),fb_likes,yt_likes_ratio,Top actor followers,Director Followers
0,Prometheus,Ridley Scott,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron",7.0,126.46,12543,16.858131487889274,1609.0,45.0
1,Split,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula",7.3,138.12,620940,15.179878048780491,2486.0,137482.0
2,Suicide Squad,David Ayer,"Will Smith, Jared Leto, Margot Robbie, Viola Davis",6.2,325.02,7071335,39.282845918812754,4741321.0,383.0
3,La La Land,Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons",8.3,151.06,1113950,20.090139442231077,2339466.0,10.0
4,The Lost City of Z,James Gray,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland",7.1,8.01,23052,13.09934497816594,165445.0,391.0
5,Passengers,Morten Tyldum,"Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne",7.0,100.01,520225,21.41142270861833,5210050.0,3425.0
6,Fantastic Beasts and Where to Find Them,David Yates,"Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler",7.5,234.02,3304071,56.26525297619048,1859685.0,145.0
7,Hidden Figures,Theodore Melfi,"Taraji P. Henson, Octavia Spencer, Janelle Monáe,Kevin Costner",7.8,169.27,626294,14.355799929052855,5285217.0,3383.0
8,Rogue One,Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",7.9,532.17,184030,24.992147922998985,2692181.0,265.0
9,Moana,Ron Clements,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",7.7,248.75,2323298,19.058985090243265,12689078.0,35.0
10,Colossal,Nacho Vigalondo,"Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson",6.4,2.87,9670,11.148026315789476,48128.0,61.0
11,The Secret Life of Pets,Chris Renaud,"Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell",6.6,368.31,2873114,17.110085227272727,35118192.0,48.0
12,Hacksaw Ridge,Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer",8.2,67.12,437719,36.713235294117645,18263.0,871.0
13,Jason Bourne,Paul Greengrass,"Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel",6.7,162.16,2561621,34.32116004296456,2758.0,79.0
14,Lion,Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar",8.1,51.69,232444,36.72013820335636,73232.0,5.0
15,Arrival,Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker,Michael Stuhlbarg",8.0,100.5,189011,20.041749502982107,3503922.0,899.0
16,Independence Day: Resurgence,Roland Emmerich,"Liam Hemsworth, Jeff Goldblum, Bill Pullman,Maika Monroe",5.3,103.14,1627585,15.596547100234664,1728674.0,111343.0
17,Bahubali: The Beginning,S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah Bhatia",8.3,6.5,4203211,8.537993920972644,5090507.0,3904880.0
18,Dead Awake,Phillip Guzman,"Jocelin Donahue, Jesse Bradford, Jesse Borrego,Lori Petty",4.7,0.01,1309,9.914285714285716,16697.0,291.0
19,Bad Moms,Jon Lucas,"Mila Kunis, Kathryn Hahn, Kristen Bell,Christina Applegate",6.2,113.08,1065131,5.529095509171411,2344871.0,1892.0
20,Assassin's Creed,Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jeremy Irons,Brendan Gleeson",5.9,54.65,1333779,19.082327378078226,2824.0,18.0
21,Why Him?,John Hamburg,"Zoey Deutch, James Franco, Tangie Ambrose,Cedric the Entertainer",6.3,60.31,165568,39.86654478976234,188522.0,791.0
22,Nocturnal Animals,Tom Ford,"Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson",7.5,10.64,105606,22.476697736351532,8788.0,110607.0
23,X-Men: Apocalypse,Bryan Singer,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",7.1,155.33,14328360,15.389494658770133,2486.0,55.0
24,Deadpool,Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",8.0,363.02,6884183,21.03347788378144,10203022.0,1159.0
25,Resident Evil: The Final Chapter,Paul W.S. Anderson,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts",5.6,26.84,10492026,13.1598942847704,1511200.0,251.0
26,Captain America: Civil War,Anthony Russo,"Chris Evans, Robert Downey Jr.,Scarlett Johansson, Sebastian Stan",7.9,408.08,16289765,22.015409018808064,10366620.0,513.0
27,Interstellar,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",8.6,187.99,1866094,38.1980198019802,2452847.0,368.0
28,Doctor Strange,Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",7.6,232.6,1275000,32.65474632940835,1478.0,71456.0
29,The Magnificent Seven,Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke,Vincent D'Onofrio",6.9,93.38,360857,15.379285714285714,5210050.0,14.0
30,Moonlight,Barry Jenkins,"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert",7.5,27.85,358122,14.98684210526316,385.0,132988.0
31,The Founder,John Lee Hancock,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini",7.2,12.79,51732,22.95496894409937,459276.0,117.0
32,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush",6.7,241.06,24278357,34.83900523560209,3295.0,927.0
33,Miss Sloane,John Madden,"Jessica Chastain, Mark Strong, Gugu Mbatha-Raw,Michael Stuhlbarg",7.3,3.44,29130,2.72964509394572,712057.0,802.0
34,Star Trek Beyond,Justin Lin,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana",7.1,158.8,3770920,20.229129662522197,1160930.0,79692.0
35,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson",8.1,936.63,19614204,32.11809420388218,1424437.0,1.0
36,Underworld: Blood Wars,Anna Foerster,"Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver",5.8,30.35,7851464,17.221337579617835,194119.0,4.0
37,Mother's Day,Garry Marshall,"Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis",5.6,32.46,165010,14.419480015521927,18124.0,212.0
38,The Dark Knight,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart,Michael Caine",9.0,533.32,19379039,54.52715654952077,26921.0,368.0
39,Silence,Martin Scorsese,"Andrew Garfield, Adam Driver, Liam Neeson,Tadanobu Asano",7.3,7.08,269233,18.271805273833674,6856.0,76.0
40,Don't Breathe,Fede Alvarez,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto",7.2,89.21,411423,24.807257120561843,342726.0,70.0
41,Sully,Clint Eastwood,"Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey",7.5,125.07,279481,26.599514563106798,15320977.0,549.0
42,Batman v Superman: Dawn of Justice,Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",6.7,330.25,4837477,24.39798834780697,2918806.0,626609.0
43,The Girl on the Train,Tate Taylor,"Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux",6.5,75.31,326434,24.180161943319842,51275.0,372.0
44,Kingsman: The Secret Service,Matthew Vaughn,"Colin Firth, Taron Egerton, Samuel L. Jackson,Michael Caine",7.7,128.25,1360373,27.489085545722713,7360444.0,98.0
45,Patriots Day,Peter Berg,"Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman",7.4,31.86,240948,2.9788303784069865,3825677.0,516.0
46,Mad Max: Fury Road,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz",8.1,153.63,1580806,18.438635899530325,491141.0,220.0
47,Wakefield,Robin Swicord,"Bryan Cranston, Jennifer Garner, Beverly D'Angelo,Jason O'Mara",7.5,0.01,290,29.584795321637426,2169657.0,8.0
48,Deepwater Horizon,Peter Berg,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont",7.2,61.28,255794,13.967952199891364,3825677.0,516.0
49,Allied,Robert Zemeckis,"Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim",7.1,40.07,222520,25.9915611814346,7571.0,16.0
50,A Monster Calls,J.A. Bayona,"Lewis MacDougall, Sigourney Weaver, Felicity Jones,Toby Kebbell",7.5,3.73,68627,30.846208362863216,1749.0,1.0
51,Collateral Beauty,David Frankel,"Will Smith, Edward Norton, Kate Winslet, Michael Peña",6.8,30.98,299636,22.966047985513807,2128174.0,16.0
52,Zootopia,Byron Howard,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",8.1,341.26,1332700,41.42111801242236,2490034.0,21.0
53,Pirates of the Caribbean: At World's End,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley,Geoffrey Rush",7.1,309.4,8974,55.08219178082192,3295.0,69.0
54,The Avengers,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson,Jeremy Renner",8.1,623.28,14511709,45.06398748611193,10366622.0,223.0
55,Inglourious Basterds,Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth,Mélanie Laurent",8.3,120.52,113467,16.30958904109589,293284.0,22637.0
56,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport",7.3,423.03,24278358,26.32075471698113,3295.0,69.0
57,Ghostbusters,Paul Feig,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones",5.3,128.34,3019983,0.27976813900556985,967354.0,2325850.0
58,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe",8.8,292.57,10855764,42.408163265306115,19219520.0,368.0
59,Captain Fantastic,Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler,Annalise Basso",7.9,5.88,76659,20.01410105757932,2109.0,294.0
60,The Wolf of Wall Street,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey",8.2,116.87,2365301,21.892987582176765,19219520.0,76.0
61,Gone Girl,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris,Tyler Perry",8.1,167.74,718495,22.69503546099291,27623914.0,14329.0
62,Furious Seven,James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham",7.2,350.03,60746262,32.795605057194464,12689082.0,79.0
63,Jurassic World,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins,Judy Greer",7.0,652.18,8534501,19.254802076573654,5210051.0,59133.0
64,Live by Night,Ben Affleck,"Ben Affleck, Elle Fanning, Brendan Gleeson, Chris Messina",6.4,10.38,68662,16.798076923076927,2918806.0,2918806.0
65,Avatar,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez",7.8,760.51,46991592,16.881789137380192,763406.0,3566.0
66,The Hateful Eight,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins",7.8,54.12,353019,26.592592592592588,7360445.0,22637.0
67,The Accountant,Gavin O'Connor,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal",7.4,86.2,206379,30.426499032882013,7099335.0,2830.0
68,Prisoners,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis,Melissa Leo",8.1,60.96,3694,27.11730205278593,12455040.0,898.0
69,Warcraft,Duncan Jones,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper",7.0,47.17,2021934,18.625044722719146,226682.0,1156.0
70,The Help,Tate Taylor,"Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard",8.1,169.71,1326721,18.175595238095237,1125804.0,372.0
71,War Dogs,Todd Phillips,"Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner",7.1,43.02,209052,29.840725806451612,4973019.0,378.0
72,Avengers: Age of Ultron,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",7.4,458.99,14511709,42.26002467612585,10366628.0,223.0
73,The Nice Guys,Shane Black,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer",7.4,36.25,109555,26.083475298126068,2747719.0,368.0
74,Kimi no na wa,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yuki",8.6,4.68,180968,101.95072992700727,355.0,18.0
75,The Void,Jeremy Gillespie,"Aaron Poole, Kenneth Welsh,Daniel Fathers, Kathleen Munroe",5.8,0.15,28502,16.358870967741936,76.0,165.0
76,The Departed,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",8.5,132.37,2007613,34.90909090909091,19219520.0,76.0
77,Thor,Kenneth Branagh,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston",7.0,181.02,12846261,23.093192840445205,3033881.0,1078.0
78,The Martian,Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",8.0,228.43,685359,30.365036838580046,712057.0,45.0
79,The Man from U.N.C.L.E.,Guy Ritchie,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki",7.3,45.43,214158,35.71833084947839,137273.0,17.0
80,Hell or High Water,David Mackenzie,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham",7.7,26.86,94876,33.76100628930818,226682.0,162.0
81,The Legend of Tarzan,David Yates,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz",6.3,126.59,595308,18.12401746724891,543.0,145.0
82,Ex Machina,Alex Garland,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac,Sonoya Mizuno",7.7,25.44,248096,23.68788819875777,2758.0,116.0
83,The Belko Experiment,Greg McLean,"John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley",6.3,10.16,129675,16.811501597444092,525690.0,372.0
84,12 Years a Slave,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt",8.1,56.67,839462,21.90260869565217,1609.0,239.0
85,300,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West",7.7,210.59,10476627,14.155555555555555,1079579.0,626612.0
86,Harry Potter and the Deathly Hallows: Part 2,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",8.1,380.96,9090,49.73587786259542,28809181.0,145.0
87,Office Christmas Party,Josh Gordon,"Jason Bateman, Olivia Munn, T.J. Miller,Jennifer Aniston",5.8,54.73,274367,17.600694444444443,1813000.0,242624.0
88,Dangal,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh,Sanya Malhotra",8.8,11.15,46798,10.157269690827599,23041690.0,14224.0
89,10 Cloverfield Lane,Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",7.2,71.9,338169,27.505686789151355,61972.0,29.0
90,Finding Dory,Andrew Stanton,"Ellen DeGeneres, Albert Brooks,Ed O'Neill, Kaitlin Olson",7.4,486.29,3057892,28.970207253886013,77253569.0,58407.0
91,Miss Peregrine's Home for Peculiar Children,Tim Burton,"Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench",6.7,87.24,1114914,58.279515640766896,7360445.0,112100.0
92,Divergent,Neil Burger,"Shailene Woodley, Theo James, Kate Winslet, Jai Courtney",6.7,150.83,5837294,24.88326265901721,1259575.0,9012.0
93,Mike and Dave Need Wedding Dates,Jake Szymanski,"Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza",6.0,46.01,147407,13.44367816091954,16036306.0,4.0
94,The Dark Knight Rises,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway,Gary Oldman",8.5,448.13,271064,29.125156054931328,8947.0,368.0
95,Transformers: Age of Extinction,Michael Bay,"Mark Wahlberg, Nicola Peltz, Jack Reynor, Stanley Tucci",5.7,245.43,32947434,18.13837920489297,3825677.0,92591.0
96,Nerve,Henry Joost,"Emma Roberts, Dave Franco, Emily Meade, Miles Heizer",6.6,38.56,656614,20.02931596091205,3776175.0,34.0
97,Mamma Mia!,Phyllida Lloyd,"Meryl Streep, Pierce Brosnan, Amanda Seyfried,Stellan Skarsgård",6.4,143.7,2828594,24.681818181818183,538934.0,2356.0
98,Fences,Denzel Washington,"Denzel Washington, Viola Davis, Stephen Henderson, Jovan Adepo",7.3,57.64,197824,34.65352697095436,1125804.0,97.0
99,Into the Woods,Rob Marshall,"Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt",6.0,128.0,16120,16.273873873873875,7099337.0,927.0
100,Whiplash,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser",8.5,13.09,408923,29.83689320388349,835572.0,10.0
101,Furious 6,Justin Lin,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez",7.1,238.67,60746265,23.096689129797827,12689083.0,79692.0
102,The Place Beyond the Pines,Derek Cianfrance,"Ryan Gosling, Bradley Cooper, Eva Mendes,Craig Van Hook",7.3,21.38,30816,27.874172185430464,2339475.0,281.0
103,No Country for Old Men,Ethan Coen,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",8.1,74.27,1185279,31.887755102040817,9806.0,1403.0
104,The Great Gatsby,Baz Luhrmann,"Leonardo DiCaprio, Carey Mulligan, Joel Edgerton,Tobey Maguire",7.3,144.81,1921992,20.27542754275428,19219520.0,58269.0
105,Shutter Island,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo,Ben Kingsley",8.1,127.97,1825608,33.47142857142857,19219520.0,76.0
106,Star Trek,J.J. Abrams,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy",8.0,257.7,3770922,33.69491525423729,6502101.0,1.0
107,Diary of a Wimpy Kid,Thor Freudenthal,"Zachary Gordon, Robert Capron, Rachael Harris,Steve Zahn",6.2,64.0,2587921,18.71969696969697,101898.0,5854.0
108,The Big Short,Adam McKay,"Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt",7.8,70.24,223606,25.22843822843823,5356784.0,3.0
109,Room,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers,Wendy Crewson",8.2,14.68,161257,29.239534883720932,689012.0,40049.0
110,Django Unchained,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,Kerry Washington",8.4,162.8,2166241,22.209352909189786,19219520.0,22637.0
111,Watchmen,Zack Snyder,"Jackie Earle Haley, Patrick Wilson, Carla Gugino,Malin Akerman",7.6,107.5,344124,30.89743589743589,99443.0,626612.0
112,Superbad,Greg Mottola,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse, Bill Hader",7.6,121.46,6673641,25.92857142857143,4973018.0,35146.0
113,Inferno,Ron Howard,"Tom Hanks, Felicity Jones, Irrfan Khan, Ben Foster",6.2,34.26,2671158,17.581683168316832,15320979.0,2439687.0
114,The BFG,Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton,Jemaine Clement",6.4,55.47,135747,14.057784145176694,1421.0,534.0
115,The Hunger Games,Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth,Stanley Tucci",7.2,408.0,21400354,26.50578512396694,2889029.0,423.0
116,White Girl,Elizabeth Wood,"Morgan Saylor, Brian Marc, Justin Bartha, Adrian Martinez",5.8,0.2,53977,4.6195219123505975,237.0,1001.0
117,Sicario,Denis Villeneuve,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal",7.6,46.88,311513,23.98621745788668,51275.0,898.0
118,Aliens vs Predator - Requiem,Colin Strause,"Reiko Aylesworth, Steven Pasquale,Shareeka Epps, John Ortiz",4.7,41.8,1847796,11.045454545454543,102.0,1.0
119,Pacific Rim,Guillermo del Toro,"Idris Elba, Charlie Hunnam, Rinko Kikuchi,Charlie Day",7.0,101.79,2007889,12.26382727003845,2490034.0,1336801.0
120,Scott Pilgrim vs. the World,Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Alison Pill",7.5,31.49,3129448,42.98142414860681,2646.0,737952.0
121,Hot Fuzz,Edgar Wright,"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy",7.9,23.62,1331288,28.020661157024804,6502101.0,737952.0
122,Free Fire,Ben Wheatley,"Sharlto Copley, Brie Larson, Armie Hammer, Cillian Murphy",7.0,1.8,36390,8.392523364485983,689012.0,204.0
123,X-Men: Days of Future Past,Bryan Singer,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy",8.0,233.91,14328359,20.701712273963835,12455046.0,55.0
124,Casino Royale,Martin Campbell,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright",8.0,167.01,1293824,25.305555555555557,48999.0,1340.0
125,Now You See Me 2,Jon M. Chu,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco",6.5,65.03,2926210,40.18744313011829,3891502.0,600243.0
126,Woman in Gold,Simon Curtis,"Helen Mirren, Ryan Reynolds, Daniel Brühl, Katie Holmes",7.3,33.31,50503,15.194444444444445,10203029.0,46504.0
127,13 Hours,Michael Bay,"John Krasinski, Pablo Schreiber, James Badge Dale,David Denman",7.3,52.82,439186,11.75,1506883.0,92591.0
128,Spectre,Sam Mendes,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",6.8,200.07,63,20.89254533243788,1058.0,159.0
129,Nightcrawler,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed",7.9,32.28,242358,24.74376731301939,3649.0,1.0
130,Kubo and the Two Strings,Travis Knight,"Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes",7.9,48.02,246768,14.396782841823056,2452847.0,43.0
